Plate,Well,Fluor,Target,Content,Sample,BirdID,Sex,DateOfSampling,Cq,Cq Mean,Cq_Diff,Cq Std. Dev,CqMin,CqMax,SQ Std. Dev,Starting Quantity (SQ),Dilution Factor,Copy_Number
2,A04,FAM,HSP90AA1,Unkn-25,Cool,24128,F,1/3/2018,34.10472075,34.13623343,0.031512676,0.759680142,33.37655328,34.89591357,7.921984073,23.11168258,5,115.5584129
2,A06,FAM,HSP90AA1,Unkn-25,Cool,24128,F,1/3/2018,34.1677461,34.13623343,0.031512676,0.759680142,33.37655328,34.89591357,7.921984073,22.10347437,5,110.5173719
2,A07,FAM,HSP90AA1,Unkn-33,Cool,18859,M,1/4/2018,31.7278365,31.86580194,0.137965443,0.125031662,31.74077028,31.99083361,10.14744605,124.2720994,5,621.3604971
2,A08,FAM,HSP90AA1,Unkn-33,Cool,18859,M,1/4/2018,31.89794625,31.86580194,0.032144305,0.125031662,31.74077028,31.99083361,10.14744605,110.1767418,5,550.8837088
2,A09,FAM,HSP90AA1,Unkn-33,Cool,18859,M,1/4/2018,31.97162308,31.86580194,0.105821137,0.125031662,31.74077028,31.99083361,10.14744605,104.5791585,5,522.8957926
2,A10,FAM,HSP90AA1,Unkn-41,Hot,23884,F,1/8/2018,31.6856788,31.80166871,0.115989913,0.114761303,31.68690741,31.91643001,9.605066478,128.0356541,5,640.1782703
2,A11,FAM,HSP90AA1,Unkn-41,Hot,23884,F,1/8/2018,31.80416672,31.80166871,0.002498004,0.114761303,31.68690741,31.91643001,9.605066478,117.7370986,5,588.6854929
2,A12,FAM,HSP90AA1,Unkn-41,Hot,23884,F,1/8/2018,31.91516062,31.80166871,0.113491909,0.114761303,31.68690741,31.91643001,9.605066478,108.8426331,5,544.2131657
2,B05,FAM,HSP90AA1,Unkn-26,Cool,23861,M,1/2/2018,30.177431,30.14808502,0.029345983,0.562744954,29.58534007,30.71082997,217.6795031,372.3017987,5,1861.508993
2,B06,FAM,HSP90AA1,Unkn-26,Cool,23861,M,1/2/2018,30.11873904,30.14808502,0.029345983,0.562744954,29.58534007,30.71082997,217.6795031,388.0916292,5,1940.458146
2,B07,FAM,HSP90AA1,Unkn-34,Hot,???,M,1/8/2018,33.3987462,33.47640485,0.077658653,0.220159955,33.2562449,33.69656481,5.438863327,38.09033839,5,190.451692
2,B08,FAM,HSP90AA1,Unkn-34,Hot,???,M,1/8/2018,33.30559817,33.47640485,0.170806682,0.220159955,33.2562449,33.69656481,5.438863327,40.68591993,5,203.4295997
2,B09,FAM,HSP90AA1,Unkn-34,Hot,???,M,1/8/2018,33.72487019,33.47640485,0.248465335,0.220159955,33.2562449,33.69656481,5.438863327,30.239855,5,151.199275
2,C04,FAM,HSP90AA1,Unkn-27,Hot,23893,F,1/8/2018,32.5277564,32.90044105,0.372684651,2.069654797,30.83078626,34.97009585,33.12764516,70.55308366,5,352.7654183
2,C05,FAM,HSP90AA1,Unkn-27,Hot,23893,F,1/8/2018,33.2731257,32.90044105,0.372684651,2.069654797,30.83078626,34.97009585,33.12764516,41.63174791,5,208.1587395
2,C07,FAM,HSP90AA1,Unkn-35,Cool,24514,M,1/16/2018,30.60986752,30.6060954,0.003772127,0.262044023,30.34405137,30.86813942,51.44460421,274.1476651,5,1370.738326
2,C08,FAM,HSP90AA1,Unkn-35,Cool,24514,M,1/16/2018,30.86623299,30.6060954,0.260137597,0.262044023,30.34405137,30.86813942,51.44460421,228.6598435,5,1143.299217
2,C09,FAM,HSP90AA1,Unkn-35,Cool,24514,M,1/16/2018,30.34218567,30.6060954,0.263909724,0.262044023,30.34405137,30.86813942,51.44460421,331.327377,5,1656.636885
2,D04,FAM,HSP90AA1,Unkn-28,Cool,,,,31.3881087,31.78556267,0.397453966,0.350290131,31.43527254,32.1358528,31.70679292,158.0483374,5,790.241687
2,D05,FAM,HSP90AA1,Unkn-28,Cool,24116,F,1/2/2018,32.04929684,31.78556267,0.263734171,0.350290131,31.43527254,32.1358528,31.70679292,98.9855715,5,494.9278575
2,D06,FAM,HSP90AA1,Unkn-28,Cool,24116,F,1/2/2018,31.91928246,31.78556267,0.133719795,0.350290131,31.43527254,32.1358528,31.70679292,108.525596,5,542.6279799
